time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
10/21/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/22/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/23/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/24/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/25/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/26/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/27/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/28/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/29/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/30/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/31/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/1/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/2/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/3/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/4/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/5/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/6/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/7/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/8/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/9/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/10/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/11/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/12/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/13/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/14/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/15/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/16/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/17/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/18/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/19/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/20/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/21/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/22/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/23/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/24/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/25/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/26/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/27/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/28/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/29/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
11/30/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/1/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/2/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/3/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/4/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/5/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/6/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/7/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/8/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/9/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/10/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/11/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/12/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/13/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/14/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/15/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/16/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/17/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/18/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/19/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/20/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/21/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/22/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/23/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/24/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/25/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/26/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/27/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/28/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/29/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
